Location_Id,Location,ISOCode
160,Afghanistan,4
43,Albania,8
139,Algeria,12
298,American Samoa,16
74,Andorra,20
168,Angola,24
105,Antigua and Barbuda,28
97,Argentina,32
33,Armenia,51
71,Australia,36
75,Austria,40
34,Azerbaijan,31
106,Bahamas,44
140,Bahrain,48
161,Bangladesh,50
107,Barbados,52
57,Belarus,112
76,Belgium,56
108,Belize,84
200,Benin,204
305,Bermuda,60
162,Bhutan,64
121,Bolivia (Plurinational State of),68
44,Bosnia and Herzegovina,70
193,Botswana,72
135,Brazil,76
66,Brunei Darussalam,96
45,Bulgaria,100
201,Burkina Faso,854
175,Burundi,108
203,Cabo Verde,132
10,Cambodia,116
202,Cameroon,120
101,Canada,124
169,Central African Republic,140
204,Chad,148
98,Chile,152
6,China,156
125,Colombia,170
176,Comoros,174
170,Congo,178
171,Congo (the Democratic Republic of the),180
320,Cook Islands,184
126,Costa Rica,188
205,Côte d'Ivoire,384
46,Croatia,191
109,Cuba,192
77,Cyprus,196
47,Czechia,203
78,Denmark,208
177,Djibouti,262
110,Dominica,212
111,Dominican Republic,214
122,Ecuador,218
141,Egypt,818
127,El Salvador,222
172,Equatorial Guinea,226
178,Eritrea,232
58,Estonia,233
197,Eswatini,748
179,Ethiopia,231
22,Fiji,242
79,Finland,246
80,France,250
173,Gabon,266
206,Gambia,270
35,Georgia,268
81,Germany,276
207,Ghana,288
82,Greece,300
349,Greenland,304
112,Grenada,308
351,Guam,316
128,Guatemala,320
208,Guinea,324
209,Guinea-Bissau,624
113,Guyana,328
114,Haiti,332
129,Honduras,340
48,Hungary,348
83,Iceland,352
163,India,356
11,Indonesia,360
142,Iran (Islamic Republic of),364
143,Iraq,368
84,Ireland,372
85,Israel,376
86,Italy,380
115,Jamaica,388
67,Japan,392
144,Jordan,400
36,Kazakhstan,398
180,Kenya,404
23,Kiribati,296
7,Korea (the Democratic People's Republic of),408
68,Korea (the Republic of),410
145,Kuwait,414
37,Kyrgyzstan,417
12,Lao People's Democratic Republic,418
59,Latvia,428
146,Lebanon,422
194,Lesotho,426
210,Liberia,430
147,Libya,434
60,Lithuania,440
87,Luxembourg,442
181,Madagascar,450
182,Malawi,454
13,Malaysia,458
14,Maldives,462
211,Mali,466
88,Malta,470
24,Marshall Islands,584
212,Mauritania,478
183,Mauritius,480
130,Mexico,484
25,Micronesia (Federated States of),583
61,Moldova (the Republic of),498
367,Monaco,492
38,Mongolia,496
50,Montenegro,499
148,Morocco,504
184,Mozambique,508
15,Myanmar,104
195,Namibia,516
369,Nauru,520
164,Nepal,524
89,Netherlands,528
72,New Zealand,554
131,Nicaragua,558
213,Niger,562
214,Nigeria,566
374,Niue,570
49,North Macedonia,807
376,Northern Mariana Islands,580
90,Norway,578
150,Oman,512
165,Pakistan,586
380,Palau,585
149,Palestine,275
132,Panama,591
26,Papua New Guinea,598
136,Paraguay,600
123,Peru,604
16,Philippines,608
51,Poland,616
91,Portugal,620
385,Puerto Rico,630
151,Qatar,634
52,Romania,642
62,Russian Federation,643
185,Rwanda,646
393,Saint Kitts and Nevis,659
116,Saint Lucia,662
117,Saint Vincent and the Grenadines,670
27,Samoa,882
396,San Marino,674
215,Sao Tome and Principe,678
152,Saudi Arabia,682
216,Senegal,686
53,Serbia,688
186,Seychelles,690
217,Sierra Leone,694
69,Singapore,702
54,Slovakia,703
55,Slovenia,705
28,Solomon Islands,90
187,Somalia,706
196,South Africa,710
435,South Sudan,728
92,Spain,724
17,Sri Lanka,144
522,Sudan,729
118,Suriname,740
93,Sweden,752
94,Switzerland,756
153,Syrian Arab Republic,760
8,Taiwan (Province of China),158
39,Tajikistan,762
189,"Tanzania, the United Republic of",834
18,Thailand,764
19,Timor-Leste,626
218,Togo,768
413,Tokelau,772
29,Tonga,776
119,Trinidad and Tobago,780
154,Tunisia,788
155,Turkey,792
40,Turkmenistan,795
416,Tuvalu,798
190,Uganda,800
63,Ukraine,804
156,United Arab Emirates,784
95,United Kingdom,826
102,United States of America,840
99,Uruguay,858
41,Uzbekistan,860
30,Vanuatu,548
133,Venezuela (Bolivarian Republic of),862
20,Viet Nam,704
422,Virgin Islands (U.S.),850
157,Yemen,887
191,Zambia,894
198,Zimbabwe,716
